,Tire,SA at Peak FY,SA at Peak MZ,Average Difference
6,16x7.5-10_R20_7,"[9.772, 10.095, 10.598]","[4.068, 2.835, 9.4]",4.721
4,16x7.5-10_LCO_7,"[11.62, 11.691, 11.715]","[5.381, 5.195, 9.007]",5.148
5,16x7.5-10_LCO_8,"[11.637, 11.763, 11.69]","[4.155, 4.795, 7.699]",6.147
0,16x6.0-10_LCO_6,"[11.666, 10.14, 11.572]","[5.118, 4.854, 4.36]",6.349
1,16x6.0-10_LCO_7,"[10.744, 10.418, 11.661]","[5.089, 4.171, 2.808]",6.918
2,16x6.0-10_R20_6,"[11.101, 10.55, 11.797]","[4.693, 4.05, 3.875]",6.943
7,16x7.5-10_R20_8,"[10.197, 10.172, 12.169]","[3.898, 3.933, 2.84]",7.289
3,16x6.0-10_R20_7,"[10.468, 10.227, 12.177]","[3.862, 3.939, 2.933]",7.379
