,Tire,SA at Peak FY,SA at Peak MZ,Average Difference
1,18x6.0-10_R20_7,"[11.407, 10.532, 10.276, 12.187]","[4.637, 3.686, 8.915, 9.14]",4.506
0,16x7.5-10_R20_7,"[9.772, 10.095, 10.598, 12.173]","[3.328, 2.951, 2.985, 5.637]",6.934
