,SL,FX,load,velocity,pressure,camber,slip,NFX
0,-0.14281765676567656,-3113.0700000000006,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.7993846145200005
0,-0.13704965649626188,-3112.5203333333334,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.7988903344653333
0,-0.13128165622684718,-3130.0711940298506,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.8146727002346266
0,-0.1255136559574325,-3072.4774074074066,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.7628822939274067
0,-0.11974565568801777,-3038.88046875,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.732670717196875
0,-0.1139776554186031,-3042.8070967741937,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.7362016824748387
0,-0.10820965514918839,-2948.978222222222,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.6518273806382218
0,-0.10244165487977369,-2930.505961538462,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.6352164588300004
0,-0.096673654610359,-2905.2039999999997,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.612464024144
0,-0.09090565434094429,-2850.1608108108107,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.5629672068702702
0,-0.0851376540715296,-2797.1698529411765,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.5153158298794116
0,-0.0793696538021149,-2752.019272727272,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.474714802730181
0,-0.0736016535327002,-2704.681372549019,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.4321468587254897
0,-0.06783365326328551,-2583.5210714285713,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.3231951541871427
0,-0.06206565299387081,-2506.2384375,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.25369982758375
0,-0.05629765272445611,-2383.7956923076927,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.143594903168
0,-0.050529652455041416,-2227.1799999999994,-1112.0551223483046,40.2335,82.73712,0.0,0.0,2.0027604344799994
0,-0.04476165218562673,-2091.6868571428568,-1112.0551223483046,40.2335,82.73712,0.0,0.0,1.8809201226697139
0,-0.03899365191621202,-1874.2641071428573,-1112.0551223483046,40.2335,82.73712,0.0,0.0,1.6854057586507143
0,-0.03322565164679733,-1737.3744186046513,-1112.0551223483046,40.2335,82.73712,0.0,0.0,1.5623096226883721
0,-0.027457651377382625,-1454.9754545454546,-1112.0551223483046,40.2335,82.73712,0.0,0.0,1.3083663078436363
0,-0.021689651107967937,-1229.0224561403509,-1112.0551223483046,40.2335,82.73712,0.0,0.0,1.1051812373698244
0,-0.01592165083855323,-974.3755813953487,-1112.0551223483046,40.2335,82.73712,0.0,0.0,0.8761936003116277
0,-0.01015365056913854,-603.892156862745,-1112.0551223483046,40.2335,82.73712,0.0,0.0,0.5430415675686273
0,-0.004385650299723852,-352.0559036144578,-1112.0551223483046,40.2335,82.73712,0.0,0.0,0.3165813425426506
0,0.0013823499696908556,128.67746031746032,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-0.11571140470603174
0,0.007150350239105544,553.6049180327869,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-0.4978214720721312
0,0.012918350508520252,896.8521176470585,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-0.8064817108644703
0,0.01868635077793494,1072.649076923077,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-0.964564665336
0,0.024454351047349648,1343.9649019607841,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-1.2085416225796075
0,0.030222351316764356,1576.2656097560975,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-1.417434781854634
0,0.03599035158617905,1740.0509615384617,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-1.5647164664500002
0,0.041758351855593734,2003.8062711864409,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-1.8018947360766102
0,0.04752635212500842,2136.7029333333335,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-1.9214001989589333
0,0.05329435239442311,2251.9440624999997,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-2.0250291709862496
0,0.05906235266383784,2410.0427419354837,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-2.1671971950870965
0,0.06483035293325252,2512.5975862068967,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-2.2594182030303447
0,0.07059835320266722,2611.1540384615387,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-2.34804371293
0,0.0763663534720819,2722.930526315789,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-2.4485571547621046
0,0.08213435374149664,2824.096949152543,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-2.539529644168136
0,0.08790235401091132,2881.1385074626864,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-2.5908234668967163
0,0.09367035428032601,2939.1367741935487,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-2.6429775962787097
0,0.09943835454974069,2954.3031481481485,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-2.656615745728148
0,0.10520635481915538,2972.5564150943405,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-2.6730297404837744
0,0.1109743550885701,3002.137407407407,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-2.699630033687407
0,0.1167423553579848,2987.6720000000005,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-2.6866222185920003
0,0.12251035562739948,3027.644406779662,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-2.722566845774916
0,0.1282783558968142,3027.797222222222,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-2.722704262922222
0,0.13404635616622887,2965.282205882353,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-2.6664885096888233
0,0.13981435643564358,2935.3611650485445,-1112.0551223483046,40.2335,82.73712,0.0,0.0,-2.639582432613593
0,-0.14235643564356437,-2657.340434782608,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.986970229015217
0,-0.13660156934060755,-2631.9691304347825,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.9584517412195654
0,-0.1308467030376507,-2608.017647058823,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.931529196088235
0,-0.12509183673469387,-2577.4217391304346,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.8971380187608697
0,-0.11933697043173706,-2536.888181818182,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.8515764763318185
0,-0.11358210412878023,-2538.8873684210525,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.853823652036842
0,-0.1078272378258234,-2481.2452,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.7890312608339998
0,-0.10207237152286658,-2473.9211111111113,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.7807986553388893
0,-0.09631750521990974,-2463.258823529412,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.768813764294118
0,-0.09056263891695292,-2420.036875,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.7202303491593747
0,-0.08480777261399611,-2406.217586206897,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.7046968466879315
0,-0.07905290631103927,-2388.111351351351,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.6843446239297295
0,-0.07329804000808245,-2295.5445833333333,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.5802954111729166
0,-0.06754317370512562,-2123.1083333333327,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.3864693065416662
0,-0.06178830740216879,-2079.3275,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.3372576797374998
0,-0.05603344109921196,-1972.992727272727,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.2177326101272725
0,-0.050278574796255145,-1900.6194444444445,-889.6440978786436,40.2335,82.73712,0.0,0.0,2.1363817834305556
0,-0.04452370849329832,-1754.5272222222222,-889.6440978786436,40.2335,82.73712,0.0,0.0,1.972167551502778
